Rule,Unique Hash Count,Hashes
use-of-md5,7,66697ed0c18248780d802e923e275b4e;5d88b53049b7f7b39f5ed4f2bb932987;b3a866b6f359d675053b9d75f5aeadea;0b7e60ee78f56ea4ea40a586da334163;3df0dab6da4d5d90b2df561804993bee;aa29876ac06b2ddbd22210da34e3936c;b7392d11fd4fb15e24e085a10c7757f4
desede-is-deprecated,1,1fe2948bd6633ee13cd8966bd875bb1d
des-is-deprecated,1,1fe2948bd6633ee13cd8966bd875bb1d
ecb-cipher,1,5aca47b467de285189f8dcd13033974f
use-of-aes-ecb,1,5aca47b467de285189f8dcd13033974f
use-of-default-aes,1,908efbc83f60e0b3798e4ab8fb75cc3a
weak-crypto,2,9d92e524965a6360d5341b0607b84923;87e06c38f8adb9651589c8343f3defef
openssl-decrypt-validate,1,ed1bf42728e58f8f83da851df3f48d92
insecure-hash-algorithm-md5,33,ef95b1fd646379a0bf90ef0371cfd606;de0d06e32b38fce9ad16c2bb6d562145;17681277cdffff1f2b16f6d82b5ed64f;3b3e98b8799d16959cb499c23da25f82;071e87589bb1fe6c555cced1fda58df7;81587f2bdb4b6ba1c02544e464124e28;27dee74dfed81eacfa97086d2473f3a1;a7b539b5fdf0d9927831d2cda16fcb45;0c211f9991df4cc34cd7c8d90d050ec0;8576f44937d3e1bb0237f83c978de2ba;6a6479823718eca0f3378d4b918b6a4b;f0b1cefb543177378d8c12bea364286f;07a7a0cbdc11981c216d5ac94f0164c5;76eb0a15e970ab1f0c6ae2cb5d051d9c;c4479b000be99fe944b8f3a80094193e;e08b8d5dc8e356ad37ed4755afc216c3;542738c8fa4748a4d2662055f60d9732;c4685ccab1e22d8b4b0a906781b8db24;6b66fc592e16a7b2b9765e397e547895;4709d3275bb1fc200c7e41ebd381eb8f;bfc640e97521fe02662a91f772630fac;ee52ab87f6ce9e49a1ebfd5394c3a866;727b04a20e0710904bf555817a39852a;197e0ed36ead63a5e842a1ca211666d3;c7d2b8045ac1ba8028a6386c7595408b;bfbc738cccede35b155af2e71ea1c80c;c5b06d7408fa3f9a9c0441c3a0426bd7;cad6590e1069da88a3c35cd5ff2555ef;d2debc255c2c77a4021f218b89eff91d;e653cf623869321f839d4f457e7def11;4a7fc5eda52813dce01316e1989682ce;a2e231af54c8249adde814d28a28b46f;bc4499cbfdd34783bfd549ab14db5464
insecure-hash-algorithm-sha1,4,a7b539b5fdf0d9927831d2cda16fcb45;a0f78af2d78cb4c7b4a0f07191fdf5c5;9e1546d2ae3720c75caae9bb328a9f53;32180b0ffd420f96c9418ad849d7e691
crypto-mode-without-authentication,4,8fa9d76b6d248817498e03abc595bb4f;cc6ed4123ed1544e5a906ad961df82f0;418d5d20ded75d8f64bee48e80d09bd8;7afeec5aaf9a33b502baf9eb12c6bffa
insecure-cipher-algorithm-des,1,a6b3f1d4719079ddb3ce5e48fe2aca29
md5-used-as-password,2,c4479b000be99fe944b8f3a80094193e;e653cf623869321f839d4f457e7def11
