conversation_hash,language,code_index,error_line,error_character,error_id,error_message
01654cc42954e929a6dfc3f7b661f62c,c,3,34,46,opengrep-rules.all_langs.sql.sql-libs,SQL library import
01654cc42954e929a6dfc3f7b661f62c,c,4,42,46,opengrep-rules.all_langs.sql.sql-libs,SQL library import
01873f36232222f276dcb41e39f24396,c,0,150,16,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
01873f36232222f276dcb41e39f24396,c,0,154,16,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
01873f36232222f276dcb41e39f24396,c,0,169,16,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
01873f36232222f276dcb41e39f24396,c,0,214,16,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
01873f36232222f276dcb41e39f24396,c,0,228,16,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
01873f36232222f276dcb41e39f24396,c,0,242,16,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
01873f36232222f276dcb41e39f24396,c,0,256,16,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
01873f36232222f276dcb41e39f24396,c,0,270,16,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
01873f36232222f276dcb41e39f24396,c,0,284,16,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
01873f36232222f276dcb41e39f24396,c,0,298,16,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
01873f36232222f276dcb41e39f24396,c,0,311,16,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
01873f36232222f276dcb41e39f24396,c,0,341,16,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
0bff0e8c6e30e110af094704b015285d,c,18,3,11,opengrep-rules.all_langs.sql.sql-libs,SQL library import
13e47a6bdb638d2ea69f259c383b198d,c,2,3,11,opengrep-rules.all_langs.sql.sql-libs,SQL library import
13e47a6bdb638d2ea69f259c383b198d,c,2,9,5,opengrep-rules.all_langs.sql.sql-libs,SQL library import
1b7aa76149ccd2c043a41ee198bc1a37,c,9,15,21,opengrep-rules.all_langs.sql.sql-libs,SQL library import
1b7aa76149ccd2c043a41ee198bc1a37,c,9,22,19,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
1b7aa76149ccd2c043a41ee198bc1a37,c,9,22,34,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
1b7aa76149ccd2c043a41ee198bc1a37,c,9,22,60,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
1b7aa76149ccd2c043a41ee198bc1a37,c,9,22,74,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
1b7aa76149ccd2c043a41ee198bc1a37,c,9,23,19,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
1b7aa76149ccd2c043a41ee198bc1a37,c,9,23,32,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
1c2d67620e70541ec6cbf7cad82baaa8,c,9,3,11,opengrep-rules.all_langs.sql.sql-libs,SQL library import
1c2d67620e70541ec6cbf7cad82baaa8,c,9,15,1,opengrep-rules.all_langs.sql.sql-libs,SQL library import
1c2d67620e70541ec6cbf7cad82baaa8,c,9,51,18,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
1c2d67620e70541ec6cbf7cad82baaa8,c,9,65,18,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
1c2d67620e70541ec6cbf7cad82baaa8,c,9,65,25,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
1c2d67620e70541ec6cbf7cad82baaa8,c,9,65,75,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
1c2d67620e70541ec6cbf7cad82baaa8,c,9,94,18,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
1c2d67620e70541ec6cbf7cad82baaa8,c,9,94,25,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
1c2d67620e70541ec6cbf7cad82baaa8,c,9,94,39,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
1c2d67620e70541ec6cbf7cad82baaa8,c,9,123,18,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
1c2d67620e70541ec6cbf7cad82baaa8,c,9,123,27,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
1c2d67620e70541ec6cbf7cad82baaa8,c,9,123,41,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
1c2d67620e70541ec6cbf7cad82baaa8,c,9,157,18,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
1c2d67620e70541ec6cbf7cad82baaa8,c,9,157,27,opengrep-rules.all_langs.sql.sql-keywords,Possible SQL keyword detected
